,seqnames,start,Composite Element REF,End,Feature name,end,width,strand,feature.ranges.start,feature.ranges.end,feature.ranges.width,feature.strand,distance,insideFeature,distanceToSite,ensembl_gene_id,gene_name,class
1321,2,203015145,cg10184159,203015146,f63698,203015145,1,*,203014608,203226378,211771,+,0,inside,0,ENSG00000144426,NBEAL1,1
1322,5,128965390,cg14441976,128965391,f88159,128965390,1,*,128538013,129033642,495630,+,0,inside,0,ENSG00000113396,SLC27A6,1
1323,10,123149391,cg00006081,123149392,f43,123149391,1,*,123148136,123150672,2537,+,0,inside,0,ENSG00000188816,HMX2,1
1324,10,63629455,cg00097225,63629456,f709,63629455,1,*,63630672,63655769,25098,+,1216,upstream,1216,ENSG00000286373,,1
1325,17,82840202,cg21338747,82840203,f125300,82840202,1,*,82752042,82945914,193873,+,0,inside,0,ENSG00000141556,TBCD,1
1326,17,82840202,cg21338747,82840203,f125300,82840202,1,*,82829434,82840022,10589,-,179,upstream,179,ENSG00000141579,ZNF750,1
1327,2,69767093,cg25099065,69767094,f144752,69767093,1,*,69644425,69827112,182688,+,0,inside,0,ENSG00000196975,ANXA4,1
1328,2,241702061,cg17148467,241702062,f103319,241702061,1,*,241687085,241729478,42394,+,0,inside,0,ENSG00000168395,ING5,1
1329,14,71487317,cg06173513,71487318,f39652,71487317,1,*,71320449,71741229,420781,+,0,inside,0,ENSG00000197555,SIPA1L1,1
1330,2,29121049,cg19955105,29121050,f118342,29121049,1,*,29097705,29189643,91939,+,0,inside,0,ENSG00000115295,CLIP4,1
1331,3,10764271,cg26740639,10764272,f153518,10764271,1,*,10759350,10764209,4860,-,61,upstream,61,ENSG00000226567,LINC00606,1
1332,17,44968907,cg23540704,44968908,f136513,44968907,1,*,44959693,44968303,8611,-,603,upstream,603,ENSG00000131094,C1QL1,1
1333,17,44968907,cg23540704,44968908,f136513,44968907,1,*,44957992,45109016,151025,+,0,inside,0,ENSG00000136448,NMT1,1
1334,3,194312890,cg18677603,194312891,f111507,194312890,1,*,194296191,194322871,26681,-,0,inside,0,ENSG00000214145,LINC00887,1
1335,3,14655571,cg02011409,14655572,f13352,14655571,1,*,14651746,14672659,20914,+,0,inside,0,ENSG00000154781,CCDC174,1
1336,3,196202518,cg23052855,196202519,f133828,196202518,1,*,196197452,196211437,13986,-,0,inside,0,ENSG00000163958,ZDHHC19,1
1337,16,89373525,cg08583277,89373526,f54492,89373525,1,*,89267630,89490561,222932,-,0,inside,0,ENSG00000167522,ANKRD11,1
1338,16,89373525,cg08583277,89373526,f54492,89373525,1,*,89317046,89418292,101247,-,0,inside,0,ENSG00000288715,,1
1339,20,43667474,cg09604203,43667475,f60369,43667474,1,*,43667019,43716495,49477,+,0,inside,0,ENSG00000101057,MYBL2,1
1340,3,24494983,cg20985755,24494984,f123507,24494983,1,*,24494087,24681711,187625,+,0,inside,0,ENSG00000228791,THRB-AS1,1
1341,3,24494983,cg20985755,24494984,f123507,24494983,1,*,24117153,24495756,378604,-,0,inside,0,ENSG00000151090,THRB,1
1342,3,100492586,cg13295984,100492587,f80575,100492586,1,*,100492619,100577444,84826,+,32,upstream,32,ENSG00000181458,TMEM45A,1
1343,3,52487914,cg12564913,52487915,f76874,52487914,1,*,52455118,52493068,37951,+,0,inside,0,ENSG00000010322,NISCH,1
1344,18,50820173,cg25151836,50820174,f145097,50820173,1,*,50795120,50825402,30283,-,0,inside,0,ENSG00000134042,MRO,1
1345,10,48463622,cg10501360,48463623,f65428,48463622,1,*,48446036,48656265,210230,-,0,inside,0,ENSG00000128805,ARHGAP22,1
1346,10,125025069,cg17014214,125025070,f102574,125025069,1,*,124984317,125161170,176854,-,0,inside,0,ENSG00000175029,CTBP2,1
1347,2,241148889,cg00189101,241148890,f1345,241148889,1,*,241149576,241183652,34077,+,686,upstream,686,ENSG00000115685,PPP1R7,1
1348,2,241148889,cg00189101,241148890,f1345,241148889,1,*,241106099,241150264,44166,-,0,inside,0,ENSG00000115687,PASK,1
1349,22,41906142,cg16170490,41906143,f97697,41906142,1,*,41833079,41907307,74229,+,0,inside,0,ENSG00000198911,SREBF2,1
1350,11,58583133,cg05742721,58583134,f37116,58583133,1,*,58579063,58621550,42488,+,0,inside,0,ENSG00000186660,ZFP91,1
1351,11,58583133,cg05742721,58583134,f37116,58583133,1,*,58579172,58624639,45468,+,0,inside,0,ENSG00000255073,ZFP91-CNTF,1
1352,22,19022906,cg00458681,19022907,f3099,19022906,1,*,18970439,19031242,60804,+,0,inside,0,ENSG00000273032,DGCR5,1
1353,3,123071331,cg16720405,123071332,f101088,123071331,1,*,123067025,123225227,158203,+,0,inside,0,ENSG00000065485,PDIA5,1
1354,15,40744588,cg21217092,40744589,f124701,40744588,1,*,40735884,40755851,19968,-,0,inside,0,ENSG00000137824,RMDN3,1
1355,2,178112352,cg06299996,178112353,f40395,178112352,1,*,178112424,178139011,26588,+,71,upstream,71,ENSG00000155636,RBM45,1
1356,19,40605391,cg02624855,40605392,f17334,40605391,1,*,40592883,40629818,36936,+,0,inside,0,ENSG00000090006,LTBP4,1
1357,4,86596706,cg17146731,86596707,f103312,86596706,1,*,86594315,86815171,220857,+,0,inside,0,ENSG00000163629,PTPN13,1
1358,15,75844045,cg15899410,75844046,f96246,75844045,1,*,75843307,75901078,57772,+,0,inside,0,ENSG00000140367,UBE2Q2,1
1359,1,22025242,cg25131452,22025243,f144945,22025242,1,*,21983606,22030617,47012,+,0,inside,0,ENSG00000285959,,1
1360,1,22025242,cg25131452,22025243,f144945,22025242,1,*,22023990,22026048,2059,-,0,inside,0,ENSG00000228397,LINC01635,1
1361,1,22025242,cg25131452,22025243,f144945,22025242,1,*,22024558,22031223,6666,+,0,inside,0,ENSG00000218510,LINC00339,1
1362,1,22025242,cg25131452,22025243,f144945,22025242,1,*,22025511,22101360,75850,+,268,upstream,268,ENSG00000070831,CDC42,1
1363,16,4664793,cg01156249,4664794,f7822,4664793,1,*,4616493,4690974,74482,+,0,inside,0,ENSG00000102858,MGRN1,1
1364,20,62386992,cg11770404,62386993,f72426,62386992,1,*,62386303,62386970,668,-,21,upstream,21,ENSG00000273619,,1
1365,20,62386992,cg11770404,62386993,f72426,62386992,1,*,62387103,62388520,1418,+,110,upstream,110,ENSG00000171858,RPS21,1
1366,17,76015173,cg01013054,76015174,f6849,76015173,1,*,76004502,76027306,22805,-,0,inside,0,ENSG00000167880,EVPL,1
1367,5,139276077,cg23205886,139276078,f134659,139276077,1,*,138946724,139293557,346834,-,0,inside,0,ENSG00000120725,SIL1,1
1368,5,139276077,cg23205886,139276078,f134659,139276077,1,*,139273752,139331671,57920,+,0,inside,0,ENSG00000280987,MATR3,1
1369,5,139276077,cg23205886,139276078,f134659,139276077,1,*,139274102,139284899,10798,+,0,inside,0,ENSG00000281398,SNHG4,1
1370,5,139276077,cg23205886,139276078,f134659,139276077,1,*,139276180,139276320,141,+,102,upstream,102,ENSG00000252213,SNORA74D,1
1371,10,15719882,cg16422098,15719883,f99232,15719882,1,*,15513954,15719922,205969,-,0,inside,0,ENSG00000077943,ITGA8,1
1372,1,211353363,cg13066703,211353364,f79445,211353363,1,*,211326615,211374946,48332,+,0,inside,0,ENSG00000082512,TRAF5,1
1373,1,3652822,cg16741710,3652823,f101207,3652822,1,*,3630767,3652761,21995,-,60,upstream,60,ENSG00000116213,WRAP73,1
1374,1,3652822,cg16741710,3652823,f101207,3652822,1,*,3652516,3736201,83686,+,0,inside,0,ENSG00000078900,TP73,1
1375,17,63446931,cg13118906,63446932,f79683,63446931,1,*,63432304,63446354,14051,-,576,upstream,576,ENSG00000008283,CYB561,1
1376,12,21936626,cg20025970,21936627,f118708,21936626,1,*,21797389,21942543,145155,-,0,inside,0,ENSG00000069431,ABCC9,1
1377,8,102122980,cg27008565,102122981,f155072,102122980,1,*,101686542,102124907,438366,-,0,inside,0,ENSG00000104490,NCALD,1
1378,2,27089848,cg05505545,27089849,f35695,27089848,1,*,27086747,27100762,14016,+,0,inside,0,ENSG00000138030,KHK,1
1379,19,6534925,cg21759280,6534926,f127290,6534925,1,*,6531026,6535924,4899,+,0,inside,0,ENSG00000125657,TNFSF9,1
1380,16,28063349,cg03921753,28063350,f25707,28063349,1,*,27787528,28063714,276187,-,0,inside,0,ENSG00000169181,GSG1L,1
1381,10,22252513,cg13307451,22252514,f80633,22252513,1,*,22252072,22254589,2518,+,0,inside,0,ENSG00000279631,,1
1382,8,12755630,cg23680049,12755631,f137240,12755630,1,*,12721906,12756073,34168,-,0,inside,0,ENSG00000154359,LONRF1,1
1383,18,12376969,cg13397649,12376970,f81164,12376969,1,*,12328944,12377227,48284,-,0,inside,0,ENSG00000141385,AFG3L2,1
1384,1,114511212,cg00760200,114511213,f5145,114511212,1,*,114392790,114511203,118414,-,8,upstream,8,ENSG00000197323,TRIM33,1
1385,3,196274835,cg23828876,196274836,f137916,196274835,1,*,196214222,196287957,73736,-,0,inside,0,ENSG00000161217,PCYT1A,1
1386,3,196274835,cg23828876,196274836,f137916,196274835,1,*,196248230,196318222,69993,-,0,inside,0,ENSG00000272741,,1
1387,11,69646240,cg06539449,69646241,f41783,69646240,1,*,69641156,69654474,13319,+,0,inside,0,ENSG00000110092,CCND1,1
1388,10,114527215,cg00454770,114527216,f3073,114527215,1,*,114431113,114768061,336949,-,0,inside,0,ENSG00000099204,ABLIM1,1
1389,11,112176240,cg26581504,112176241,f152632,112176240,1,*,112175510,112224699,49190,+,0,inside,0,ENSG00000197580,BCO2,1
1390,11,112176240,cg26581504,112176241,f152632,112176240,1,*,112086903,112193805,106903,+,0,inside,0,ENSG00000255292,,1
1391,3,154125057,cg05507514,154125058,f35709,154125057,1,*,154121003,154257827,136825,+,0,inside,0,ENSG00000114790,ARHGEF26,1
1392,8,1463533,cg16113905,1463534,f97418,1463533,1,*,737628,1708476,970849,+,0,inside,0,ENSG00000198010,DLGAP2,1
1393,3,126101529,cg10798682,126101530,f67107,126101529,1,*,126006357,126101561,95205,-,0,inside,0,ENSG00000114544,SLC41A3,1
1394,2,217905514,cg03383268,217905515,f22346,217905514,1,*,217799588,218033982,234395,-,0,inside,0,ENSG00000079308,TNS1,1
1395,5,56954,cg15885430,56955,f96165,56954,1,*,58198,58915,718,+,1243,upstream,1243,ENSG00000250020,,1
1396,4,47705047,cg04050782,47705048,f26476,47705047,1,*,47706372,47706987,616,+,1324,upstream,1324,ENSG00000242262,,1
1397,4,47705047,cg04050782,47705048,f26476,47705047,1,*,47593999,47838106,244108,-,0,inside,0,ENSG00000145244,CORIN,1
1398,18,58194805,cg07324054,58194806,f46856,58194805,1,*,58189834,58195696,5863,-,0,inside,0,ENSG00000267743,,1
1399,18,58194805,cg07324054,58194806,f46856,58194805,1,*,58044226,58401540,357315,+,0,inside,0,ENSG00000049759,NEDD4L,1
1400,19,1439986,cg00079302,1439987,f560,1439986,1,*,1440839,1441938,1100,+,852,upstream,852,ENSG00000268798,,1
1401,19,1439986,cg00079302,1439987,f560,1439986,1,*,1438358,1440495,2138,+,0,inside,0,ENSG00000115268,RPS15,1
1402,6,37644769,cg04680754,37644770,f30536,37644769,1,*,37630679,37699306,68628,-,0,inside,0,ENSG00000112139,MDGA1,1
1403,15,72758257,cg17127015,72758258,f103208,72758257,1,*,72751294,72785846,34553,-,0,inside,0,ENSG00000159322,ADPGK,1
1404,19,424281,cg11333576,424282,f70079,424281,1,*,416589,461033,44445,-,0,inside,0,ENSG00000129946,SHC2,1
1405,2,1744360,cg25181651,1744361,f145208,1744360,1,*,1631887,1744852,112966,-,0,inside,0,ENSG00000130508,PXDN,1
1406,19,30226310,cg05804948,30226311,f37472,30226310,1,*,30219666,30228715,9050,-,0,inside,0,ENSG00000267223,,1
1407,6,3751505,cg25211525,3751506,f145362,3751505,1,*,3751111,3753871,2761,+,0,inside,0,ENSG00000270504,,1
1408,6,3751505,cg25211525,3751506,f145362,3751505,1,*,3722614,3751713,29100,-,0,inside,0,ENSG00000168994,PXDC1,1
1409,1,46303676,cg09159144,46303677,f57775,46303676,1,*,46303698,46316776,13079,+,21,upstream,21,ENSG00000173660,UQCRH,1
1410,1,46303676,cg09159144,46303677,f57775,46303676,1,*,46261196,46303616,42421,-,59,upstream,59,ENSG00000132128,LRRC41,1
1411,12,4809835,cg01175812,4809836,f7956,4809835,1,*,4809176,4813412,4237,+,0,inside,0,ENSG00000151079,KCNA6,1
1412,12,4809835,cg01175812,4809836,f7956,4809835,1,*,4720400,4851927,131528,+,0,inside,0,ENSG00000130035,GALNT8,1
1413,12,4809835,cg01175812,4809836,f7956,4809835,1,*,4804499,4830747,26249,-,0,inside,0,ENSG00000256988,,1
1414,3,123026713,cg11483789,123026714,f70846,123026713,1,*,122909082,123028605,119524,-,0,inside,0,ENSG00000082684,SEMA5B,1
1415,2,40455067,cg08240652,40455068,f52389,40455067,1,*,40097270,40611053,513784,-,0,inside,0,ENSG00000183023,SLC8A1,1
1416,4,121933377,cg12747505,121933378,f77856,121933377,1,*,121874481,121952060,77580,-,0,inside,0,ENSG00000138741,TRPC3,1
1417,7,153887754,cg03532926,153887755,f23302,153887754,1,*,153887097,154894285,1007189,+,0,inside,0,ENSG00000130226,DPP6,1
1418,22,18970803,cg17362321,18970804,f104514,18970803,1,*,18970439,19031242,60804,+,0,inside,0,ENSG00000273032,DGCR5,1
1419,19,55082212,cg12020396,55082213,f73887,55082212,1,*,55072020,55087923,15904,+,0,inside,0,ENSG00000131037,EPS8L1,1
1420,3,10290486,cg07871024,10290487,f50113,10290486,1,*,10285666,10292947,7282,-,0,inside,0,ENSG00000157017,GHRL,1
1421,3,10290486,cg07871024,10290487,f50113,10290486,1,*,10285754,10294903,9150,+,0,inside,0,ENSG00000240288,GHRLOS,1
1422,16,85615143,cg01011769,85615144,f6840,85615143,1,*,85169525,85676204,506680,+,0,inside,0,ENSG00000131149,GSE1,1
1423,7,98978322,cg26081762,98978323,f149791,98978322,1,*,98877933,99050831,172899,+,0,inside,0,ENSG00000196367,TRRAP,1
1424,2,144517755,cg15120754,144517756,f92158,144517755,1,*,144364364,144521057,156694,-,0,inside,0,ENSG00000169554,ZEB2,1
1425,2,144517755,cg15120754,144517756,f92158,144517755,1,*,144517978,144521477,3500,+,222,upstream,222,ENSG00000238057,ZEB2-AS1,1
1426,2,144517755,cg15120754,144517756,f92158,144517755,1,*,144518447,144518574,128,+,691,upstream,691,ENSG00000275372,,1
1427,20,20368924,cg11015038,20368925,f68323,20368924,1,*,20368104,20370949,2846,+,0,inside,0,ENSG00000173404,INSM1,1
1428,2,157597889,cg07568040,157597890,f48260,157597889,1,*,157526767,157628864,102098,-,0,inside,0,ENSG00000123612,ACVR1C,1
1429,11,65356039,cg23319460,65356040,f135317,65356039,1,*,65354751,65357613,2863,+,0,inside,0,ENSG00000173825,TIGD3,1
1430,19,51022382,cg09923953,51022383,f62180,51022382,1,*,51022216,51028039,5824,-,0,inside,0,ENSG00000167757,KLK11,1
1431,19,49325401,cg24188017,49325402,f139969,49325401,1,*,49289638,49325215,35578,-,185,upstream,185,ENSG00000063127,SLC6A16,1
1432,15,34755002,cg16729415,34755003,f101138,34755002,1,*,34751032,34754998,3967,-,3,upstream,3,ENSG00000159248,GJD2,1
1433,15,34755002,cg16729415,34755003,f101138,34755002,1,*,34755084,34813505,58422,+,81,upstream,81,ENSG00000250007,,1
1434,12,1530361,cg05998639,1530362,f38701,1530361,1,*,1529891,1647212,117322,+,0,inside,0,ENSG00000111186,WNT5B,1
1435,17,57406483,cg19810715,57406484,f117485,57406483,1,*,57255851,57684689,428839,+,0,inside,0,ENSG00000153944,MSI2,1
1436,10,97772122,cg07834955,97772123,f49898,97772122,1,*,97766751,97771999,5249,-,122,upstream,122,ENSG00000120057,SFRP5,1
1437,2,1743310,cg19517718,1743311,f115802,1743310,1,*,1631887,1744852,112966,-,0,inside,0,ENSG00000130508,PXDN,1
1438,8,130015986,cg21450008,130015987,f125751,130015986,1,*,129839593,130017129,177537,-,0,inside,0,ENSG00000153310,CYRIB,1
1439,11,45885518,cg04200323,45885519,f27421,45885518,1,*,45885651,45906465,20815,+,132,upstream,132,ENSG00000121653,MAPK8IP1,1
1440,6,43724941,cg10794973,43724942,f67089,43724941,1,*,43722786,43737834,15049,-,0,inside,0,ENSG00000236961,,1
1441,4,89837692,cg15452573,89837693,f93818,89837692,1,*,89836408,89841978,5571,+,0,inside,0,ENSG00000247775,SNCA-AS1,1
1442,4,89837692,cg15452573,89837693,f93818,89837692,1,*,89700345,89838315,137971,-,0,inside,0,ENSG00000145335,SNCA,1
1443,2,136118451,cg21859434,136118452,f127766,136118451,1,*,136114349,136118149,3801,-,301,upstream,301,ENSG00000121966,CXCR4,1
1444,16,62036342,cg13397057,62036343,f81157,62036342,1,*,61647242,62037035,389794,-,0,inside,0,ENSG00000150394,CDH8,1
1445,3,52455307,cg04453677,52455308,f29081,52455307,1,*,52451100,52454041,2942,-,1265,upstream,1265,ENSG00000114854,TNNC1,1
1446,3,52455307,cg04453677,52455308,f29081,52455307,1,*,52455118,52493068,37951,+,0,inside,0,ENSG00000010322,NISCH,1
1447,7,5776997,cg26724841,5776998,f153439,5776997,1,*,5620047,5781696,161650,-,0,inside,0,ENSG00000011275,RNF216,1
1448,8,28374659,cg26101942,28374660,f149900,28374659,1,*,28345590,28402701,57112,-,0,inside,0,ENSG00000186918,ZNF395,1
1449,8,28374659,cg26101942,28374660,f149900,28374659,1,*,28348287,28490278,141992,-,0,inside,0,ENSG00000214050,FBXO16,1
1450,2,174585779,cg09527561,174585780,f59929,174585779,1,*,174575227,174587726,12500,+,0,inside,0,ENSG00000237798,,1
1451,2,174585779,cg09527561,174585780,f59929,174585779,1,*,174547141,174776720,229580,+,0,inside,0,ENSG00000236449,,1
1452,2,174585779,cg09527561,174585780,f59929,174585779,1,*,174559572,174682916,123345,-,0,inside,0,ENSG00000115935,WIPF1,1
1453,10,62817647,cg27422348,62817648,f157293,62817647,1,*,62811996,62919900,107905,-,0,inside,0,ENSG00000122877,EGR2,1
1454,1,154463472,cg25135018,154463473,f144974,154463472,1,*,154405193,154469450,64258,+,0,inside,0,ENSG00000160712,IL6R,1
1455,12,27553410,cg12166080,27553411,f74757,27553410,1,*,27523431,27695564,172134,+,0,inside,0,ENSG00000110841,PPFIBP1,1
1456,12,27553410,cg12166080,27553411,f74757,27553410,1,*,27547050,27552773,5724,-,636,upstream,636,ENSG00000248100,,1
1457,1,245510985,cg25035939,245510986,f144491,245510985,1,*,245154985,245709432,554448,+,0,inside,0,ENSG00000162849,KIF26B,1
1458,19,22622999,cg16105687,22623000,f97379,22622999,1,*,22615552,22623971,8420,-,0,inside,0,ENSG00000268038,LINC01785,1
1459,10,1737625,cg06730723,1737626,f42970,1737625,1,*,1177313,1737525,560213,-,99,upstream,99,ENSG00000185736,ADARB2,1
1460,19,37334486,cg05280698,37334487,f34277,37334486,1,*,37312837,37369365,56529,+,0,inside,0,ENSG00000181666,ZNF875,1
1461,4,41538098,cg22204103,41538099,f129472,41538098,1,*,41359607,41700044,340438,+,0,inside,0,ENSG00000064042,LIMCH1,1
1462,16,4335297,cg16518708,4335298,f99788,4335297,1,*,4314761,4339597,24837,+,0,inside,0,ENSG00000126603,GLIS2,1
1463,16,4335297,cg16518708,4335298,f99788,4335297,1,*,4331549,4355607,24059,-,0,inside,0,ENSG00000217930,PAM16,1
1464,7,97013198,cg15199678,97013199,f92584,97013198,1,*,96955141,97014088,58948,-,0,inside,0,ENSG00000231764,DLX6-AS1,1
1465,4,134201948,cg18270926,134201949,f109350,134201948,1,*,134196333,134201789,5457,-,158,upstream,158,ENSG00000254535,PABPC4L,1
1466,4,134201948,cg18270926,134201949,f109350,134201948,1,*,134026665,134327977,301313,-,0,inside,0,ENSG00000251199,,1
1467,2,165469104,cg00324128,165469105,f2189,165469104,1,*,165469647,165689407,219761,+,542,upstream,542,ENSG00000178662,CSRNP3,1
1468,16,70666517,cg08996445,70666518,f56864,70666517,1,*,70661204,70686053,24850,-,0,inside,0,ENSG00000132613,MTSS2,1
1469,2,79511456,cg04373435,79511457,f28593,79511456,1,*,79492704,79513900,21197,-,0,inside,0,ENSG00000229385,CTNNA2-AS1,1
1470,2,79511456,cg04373435,79511457,f28593,79511456,1,*,79185231,80648861,1463631,+,0,inside,0,ENSG00000066032,CTNNA2,1
1471,4,121951841,cg05619888,121951842,f36341,121951841,1,*,121874481,121952060,77580,-,0,inside,0,ENSG00000138741,TRPC3,1
1472,7,93219656,cg02544502,93219657,f16796,93219656,1,*,93188534,93226469,37936,-,0,inside,0,ENSG00000188175,HEPACAM2,1
1473,5,78235649,cg02570643,78235650,f16951,78235649,1,*,78002326,78294698,292373,-,0,inside,0,ENSG00000132842,AP3B1,1
1474,2,228181799,cg10959353,228181800,f67996,228181799,1,*,227979955,228181687,201733,-,111,upstream,111,ENSG00000153820,SPHKAP,1
1475,1,10797053,cg00787856,10797054,f5320,10797053,1,*,10636604,10796650,160047,-,402,upstream,402,ENSG00000130940,CASZ1,1
1476,11,30017072,cg17714025,30017073,f106266,30017072,1,*,30009730,30017030,7301,-,41,upstream,41,ENSG00000182255,KCNA4,1
1477,2,66435453,cg12975220,66435454,f79002,66435453,1,*,66433452,66573869,140418,+,0,inside,0,ENSG00000143995,MEIS1,1
1478,1,3543704,cg22791030,3543705,f132364,3543704,1,*,3487951,3611508,123558,-,0,inside,0,ENSG00000162591,MEGF6,1
1479,3,185552770,cg23620049,185552771,f136860,185552770,1,*,185506262,185552588,46327,-,181,upstream,181,ENSG00000163898,LIPH,1
1480,16,68265182,cg06305340,68265183,f40417,68265182,1,*,68264516,68301823,37308,+,0,inside,0,ENSG00000103064,SLC7A6,1
1481,13,112902099,cg19641924,112902100,f116498,112902099,1,*,112894378,113099742,205365,+,0,inside,0,ENSG00000126217,MCF2L,1
1482,10,69180220,cg14817024,69180221,f90484,69180220,1,*,69180234,69209099,28866,+,13,upstream,13,ENSG00000156502,SUPV3L1,1
1483,8,96645066,cg04986675,96645067,f32478,96645066,1,*,96645242,97149654,504413,+,175,upstream,175,ENSG00000104324,CPQ,1
1484,19,17420339,cg14147105,17420340,f86205,17420339,1,*,17405722,17433724,28003,+,0,inside,0,ENSG00000141971,MVB12A,1
1485,19,17420339,cg14147105,17420340,f86205,17420339,1,*,17414257,17422324,8068,-,0,inside,0,ENSG00000269481,,1
1486,19,17420339,cg14147105,17420340,f86205,17420339,1,*,17419305,17419774,470,-,564,upstream,564,ENSG00000269053,,1
1487,12,2691297,cg15442907,2691298,f93745,2691297,1,*,2676001,2691200,15200,-,96,upstream,96,ENSG00000246627,CACNA1C-AS1,1
1488,12,2691297,cg15442907,2691298,f93745,2691297,1,*,1970772,2697950,727179,+,0,inside,0,ENSG00000151067,CACNA1C,1
1489,8,109692528,cg13456086,109692529,f81586,109692528,1,*,109573978,109691791,117814,-,736,upstream,736,ENSG00000147642,SYBU,1
1490,15,83107668,cg26460092,83107669,f151988,83107668,1,*,83095333,83108754,13422,-,0,inside,0,ENSG00000286872,,1
1491,15,83107668,cg26460092,83107669,f151988,83107668,1,*,83107572,83144854,37283,+,0,inside,0,ENSG00000136404,TM6SF1,1
1492,16,3035866,cg12686273,3035867,f77560,3035866,1,*,3027682,3036944,9263,-,0,inside,0,ENSG00000162069,BICDL2,1
1493,16,3035866,cg12686273,3035867,f77560,3035866,1,*,3032481,3039133,6653,+,0,inside,0,ENSG00000205890,,1
1494,2,202171485,cg09287629,202171486,f58524,202171485,1,*,202073255,202205188,131934,+,0,inside,0,ENSG00000182329,KIAA2012,1
1495,10,119598012,cg08761324,119598013,f55542,119598012,1,*,119571802,119597029,25228,-,982,upstream,982,ENSG00000151923,TIAL1,1
1496,10,132306944,cg10915716,132306945,f67767,132306944,1,*,132207492,132331847,124356,-,0,inside,0,ENSG00000165752,STK32C,1
1497,22,45413573,cg18180155,45413574,f108838,45413573,1,*,45344063,45413619,69557,-,0,inside,0,ENSG00000077935,SMC1B,1
1498,22,45413573,cg18180155,45413574,f108838,45413573,1,*,45413693,45432509,18817,+,119,upstream,119,ENSG00000128408,RIBC2,1
1499,19,56368185,cg15708153,56368186,f95202,56368185,1,*,56354493,56368053,13561,-,131,upstream,131,ENSG00000267606,,1
1500,19,56368185,cg15708153,56368186,f95202,56368185,1,*,56368099,56379828,11730,+,0,inside,0,ENSG00000240225,ZNF542P,1
1501,19,56368185,cg15708153,56368186,f95202,56368185,1,*,56219670,56368383,148714,-,0,inside,0,ENSG00000131848,ZSCAN5A,1
1502,8,28386957,cg07006853,28386958,f44814,28386957,1,*,28345590,28402701,57112,-,0,inside,0,ENSG00000186918,ZNF395,1
1503,8,28386957,cg07006853,28386958,f44814,28386957,1,*,28348287,28490278,141992,-,0,inside,0,ENSG00000214050,FBXO16,1
1504,2,54527764,cg07454556,54527765,f47582,54527764,1,*,54456317,54671446,215130,+,0,inside,0,ENSG00000115306,SPTBN1,1
1505,2,54527764,cg07454556,54527765,f47582,54527764,1,*,54516048,54540697,24650,-,0,inside,0,ENSG00000228108,SPTBN1-AS1,1
1506,2,17931454,cg00060627,17931455,f442,17931454,1,*,17877847,18361616,483770,+,0,inside,0,ENSG00000170745,KCNS3,1
1507,3,73432380,cg19968946,73432381,f118415,73432380,1,*,73382431,73624941,242511,-,0,inside,0,ENSG00000121440,PDZRN3,1
1508,8,25000379,cg10892158,25000380,f67650,25000379,1,*,24992002,25009777,17776,+,0,inside,0,ENSG00000253832,,1
1509,8,25000379,cg10892158,25000380,f67650,25000379,1,*,25000436,25003439,3004,+,56,upstream,56,ENSG00000288055,,1
1510,12,124424055,cg17647904,124424056,f105977,124424055,1,*,124324415,124567589,243175,-,0,inside,0,ENSG00000196498,NCOR2,1
1511,11,3160889,cg16129132,3160890,f97507,3160889,1,*,3087107,3166739,79633,-,0,inside,0,ENSG00000021762,OSBPL5,1
1512,12,114691206,cg02824888,114691207,f18669,114691206,1,*,114682292,114767989,85698,+,0,inside,0,ENSG00000257817,,1
1513,19,54337607,cg02434051,54337608,f16073,54337607,1,*,54333185,54339162,5978,-,0,inside,0,ENSG00000239961,LILRA4,1
1514,19,54337607,cg02434051,54337608,f16073,54337607,1,*,54308915,54337168,28254,-,438,upstream,438,ENSG00000275210,,1
1515,17,28614235,cg09076584,28614236,f57320,28614235,1,*,28455752,28614185,158434,-,49,upstream,49,ENSG00000258472,,1
1516,17,28614235,cg09076584,28614236,f57320,28614235,1,*,28598790,28617377,18588,+,0,inside,0,ENSG00000227543,SPAG5-AS1,1
1517,17,28614235,cg09076584,28614236,f57320,28614235,1,*,28601827,28614197,12371,-,37,upstream,37,ENSG00000167524,RSKR,1
1518,1,156161035,cg21996227,156161036,f128452,156161035,1,*,156147366,156177752,30387,+,0,inside,0,ENSG00000196189,SEMA4A,1
1519,17,42674194,cg22806907,42674195,f132476,42674194,1,*,42667914,42676994,9081,-,0,inside,0,ENSG00000068137,PLEKHH3,1
1520,2,153871795,cg02593932,153871796,f17127,153871795,1,*,153871922,154453979,582058,+,126,upstream,126,ENSG00000144278,GALNT13,1
1521,2,157257892,cg24576425,157257893,f141975,157257892,1,*,157257705,157318491,60787,+,0,inside,0,ENSG00000136542,GALNT5,1
1522,12,101702288,cg27405946,101702289,f157210,101702288,1,*,101696947,101744140,47194,+,0,inside,0,ENSG00000111666,CHPT1,1
1523,18,79713568,cg27151480,79713569,f155840,79713568,1,*,79679803,79754503,74701,+,0,inside,0,ENSG00000060069,CTDP1,1
1524,10,97869193,cg20580833,97869194,f121454,97869193,1,*,97865000,98030828,165829,-,0,inside,0,ENSG00000095713,CRTAC1,1
1525,10,97869193,cg20580833,97869194,f121454,97869193,1,*,97849843,97871580,21738,+,0,inside,0,ENSG00000155265,GOLGA7B,1
