,seqnames,start,Composite Element REF,End,c
10705,3,187746860,cg01598596,187746861,1
125354,6,136990150,cg21356535,136990151,1
16242,20,3846790,cg02460716,3846791,1
113340,1,54781467,cg19022697,54781468,1
147280,12,7936341,cg25580254,7936342,1
35289,9,117704362,cg05429895,117704363,1
140376,11,66136898,cg24278087,66136899,1
70354,8,71842234,cg11382963,71842235,1
16188,5,141430542,cg02452944,141430543,1
101360,12,6469357,cg16770549,6469358,1
125770,1,228457926,cg21453443,228457927,1
105735,17,44968993,cg17594131,44968994,1
120176,8,60175748,cg20321319,60175749,1
983,7,106484722,cg00139681,106484723,1
50099,16,47143692,cg07869548,47143693,1
23,1,57423035,cg00002810,57423036,1
18443,8,10404711,cg02785561,10404712,1
24106,16,16062182,cg03653601,16062183,1
5739,1,234770025,cg00851028,234770026,1
5157,4,184396284,cg00762029,184396285,1
142934,6,5287610,cg24743155,5287611,1
27814,5,45696389,cg04259977,45696390,1
150604,5,129905388,cg26226142,129905389,1
12676,14,49862097,cg01911191,49862098,1
59303,19,14085770,cg09425032,14085771,1
98149,3,182980221,cg16248795,182980222,1
130946,7,143345492,cg22504175,143345493,1
76949,5,122078939,cg12580445,122078940,1
6543,7,27144822,cg00969405,27144823,1
80683,11,68118138,cg13318256,68118139,1
19869,14,49621278,cg02993890,49621279,1
147013,10,27743028,cg25523538,27743029,1
9111,7,71132105,cg01366419,71132106,1
108734,12,33439350,cg18158990,33439351,1
75763,11,96091101,cg12370174,96091102,1
37873,14,104158912,cg05875066,104158913,1
121776,4,44447721,cg20646280,44447722,1
61522,10,44005683,cg09816788,44005684,1
91096,13,113209772,cg14929266,113209773,1
6552,17,42421746,cg00971050,42421747,1
141293,15,74812803,cg24447890,74812804,1
59945,17,50559894,cg09529433,50559895,1
6839,2,153872687,cg01011748,153872688,1
103167,19,40512537,cg17119849,40512538,1
93266,12,213475,cg15350661,213476,1
108772,8,103141399,cg18168101,103141400,1
31752,13,113455542,cg04870949,113455543,1
42533,2,113117656,cg06658391,113117657,1
52957,21,38272432,cg08320524,38272433,1
63698,2,203015145,cg10184159,203015146,1
88159,5,128965390,cg14441976,128965391,1
43,10,123149391,cg00006081,123149392,1
709,10,63629455,cg00097225,63629456,1
125300,17,82840202,cg21338747,82840203,1
144752,2,69767093,cg25099065,69767094,1
103319,2,241702061,cg17148467,241702062,1
129032,21,45348209,cg22117968,45348210,1
39652,14,71487317,cg06173513,71487318,1
118342,2,29121049,cg19955105,29121050,1
153518,3,10764271,cg26740639,10764272,1
136513,17,44968907,cg23540704,44968908,1
111507,3,194312890,cg18677603,194312891,1
13352,3,14655571,cg02011409,14655572,1
133828,3,196202518,cg23052855,196202519,1
54492,16,89373525,cg08583277,89373526,1
60369,20,43667474,cg09604203,43667475,1
123507,3,24494983,cg20985755,24494984,1
80575,3,100492586,cg13295984,100492587,1
76874,3,52487914,cg12564913,52487915,1
145097,18,50820173,cg25151836,50820174,1
65428,10,48463622,cg10501360,48463623,1
102574,10,125025069,cg17014214,125025070,1
1345,2,241148889,cg00189101,241148890,1
121017,2,241771631,cg20489909,241771632,1
97697,22,41906142,cg16170490,41906143,1
37116,11,58583133,cg05742721,58583134,1
3099,22,19022906,cg00458681,19022907,1
101088,3,123071331,cg16720405,123071332,1
124701,15,40744588,cg21217092,40744589,1
40395,2,178112352,cg06299996,178112353,1
17334,19,40605391,cg02624855,40605392,1
103312,4,86596706,cg17146731,86596707,1
96246,15,75844045,cg15899410,75844046,1
144945,1,22025242,cg25131452,22025243,1
7822,16,4664793,cg01156249,4664794,1
72426,20,62386992,cg11770404,62386993,1
6849,17,76015173,cg01013054,76015174,1
134659,5,139276077,cg23205886,139276078,1
99232,10,15719882,cg16422098,15719883,1
79445,1,211353363,cg13066703,211353364,1
101207,1,3652822,cg16741710,3652823,1
42334,5,171667933,cg06635150,171667934,1
79683,17,63446931,cg13118906,63446932,1
118708,12,21936626,cg20025970,21936627,1
155072,8,102122980,cg27008565,102122981,1
35695,2,27089848,cg05505545,27089849,1
127290,19,6534925,cg21759280,6534926,1
25707,16,28063349,cg03921753,28063350,1
80633,10,22252513,cg13307451,22252514,1
137240,8,12755630,cg23680049,12755631,1
81164,18,12376969,cg13397649,12376970,1
5145,1,114511212,cg00760200,114511213,1
137916,3,196274835,cg23828876,196274836,1
41783,11,69646240,cg06539449,69646241,1
3073,10,114527215,cg00454770,114527216,1
152632,11,112176240,cg26581504,112176241,1
35709,3,154125057,cg05507514,154125058,1
97418,8,1463533,cg16113905,1463534,1
67107,3,126101529,cg10798682,126101530,1
22346,2,217905514,cg03383268,217905515,1
96165,5,56954,cg15885430,56955,1
12715,12,1663338,cg01917080,1663339,1
26476,4,47705047,cg04050782,47705048,1
46856,18,58194805,cg07324054,58194806,1
560,19,1439986,cg00079302,1439987,1
30536,6,37644769,cg04680754,37644770,1
103208,15,72758257,cg17127015,72758258,1
70079,19,424281,cg11333576,424282,1
145208,2,1744360,cg25181651,1744361,1
37472,19,30226310,cg05804948,30226311,1
145362,6,3751505,cg25211525,3751506,1
57775,1,46303676,cg09159144,46303677,1
7956,12,4809835,cg01175812,4809836,1
70846,3,123026713,cg11483789,123026714,1
52389,2,40455067,cg08240652,40455068,1
77856,4,121933377,cg12747505,121933378,1
23302,7,153887754,cg03532926,153887755,1
104514,22,18970803,cg17362321,18970804,1
73887,19,55082212,cg12020396,55082213,1
50113,3,10290486,cg07871024,10290487,1
554,8,48513972,cg00078857,48513973,1
6840,16,85615143,cg01011769,85615144,1
149791,7,98978322,cg26081762,98978323,1
92158,2,144517755,cg15120754,144517756,1
68323,20,20368924,cg11015038,20368925,1
48260,2,157597889,cg07568040,157597890,1
25404,10,34916803,cg03872695,34916804,1
135317,11,65356039,cg23319460,65356040,1
62180,19,51022382,cg09923953,51022383,1
139969,19,49325401,cg24188017,49325402,1
101138,15,34755002,cg16729415,34755003,1
38701,12,1530361,cg05998639,1530362,1
117485,17,57406483,cg19810715,57406484,1
49898,10,97772122,cg07834955,97772123,1
115802,2,1743310,cg19517718,1743311,1
90284,6,7086383,cg14779557,7086384,1
125751,8,130015986,cg21450008,130015987,1
143232,10,58457785,cg24801835,58457786,1
27421,11,45885518,cg04200323,45885519,1
67089,6,43724941,cg10794973,43724942,1
93818,4,89837692,cg15452573,89837693,1
127766,2,136118451,cg21859434,136118452,1
81157,16,62036342,cg13397057,62036343,1
35,1,16677772,cg00004209,16677773,1
29081,3,52455307,cg04453677,52455308,1
153439,7,5776997,cg26724841,5776998,1
149900,8,28374659,cg26101942,28374660,1
59929,2,174585779,cg09527561,174585780,1
157293,10,62817647,cg27422348,62817648,1
144974,1,154463472,cg25135018,154463473,1
74757,12,27553410,cg12166080,27553411,1
29855,6,5996660,cg04570149,5996661,1
144491,1,245510985,cg25035939,245510986,1
97379,19,22622999,cg16105687,22623000,1
42970,10,1737625,cg06730723,1737626,1
34277,19,37334486,cg05280698,37334487,1
129472,4,41538098,cg22204103,41538099,1
99788,16,4335297,cg16518708,4335298,1
92584,7,97013198,cg15199678,97013199,1
109350,4,134201948,cg18270926,134201949,1
2189,2,165469104,cg00324128,165469105,1
24479,1,90707213,cg03714573,90707214,1
56864,16,70666517,cg08996445,70666518,1
28593,2,79511456,cg04373435,79511457,1
36341,4,121951841,cg05619888,121951842,1
16796,7,93219656,cg02544502,93219657,1
16951,5,78235649,cg02570643,78235650,1
67996,2,228181799,cg10959353,228181800,1
5320,1,10797053,cg00787856,10797054,1
106266,11,30017072,cg17714025,30017073,1
79002,2,66435453,cg12975220,66435454,1
132364,1,3543704,cg22791030,3543705,1
136860,3,185552770,cg23620049,185552771,1
40417,16,68265182,cg06305340,68265183,1
116498,13,112902099,cg19641924,112902100,1
90484,10,69180220,cg14817024,69180221,1
32478,8,96645066,cg04986675,96645067,1
86205,19,17420339,cg14147105,17420340,1
93745,12,2691297,cg15442907,2691298,1
81586,8,109692528,cg13456086,109692529,1
151988,15,83107668,cg26460092,83107669,1
77560,16,3035866,cg12686273,3035867,1
58524,2,202171485,cg09287629,202171486,1
55542,10,119598012,cg08761324,119598013,1
67767,10,132306944,cg10915716,132306945,1
108838,22,45413573,cg18180155,45413574,1
95202,19,56368185,cg15708153,56368186,1
44814,8,28386957,cg07006853,28386958,1
47582,2,54527764,cg07454556,54527765,1
442,2,17931454,cg00060627,17931455,1
118415,3,73432380,cg19968946,73432381,1
67650,8,25000379,cg10892158,25000380,1
133803,2,222312855,cg23051046,222312856,1
105977,12,124424055,cg17647904,124424056,1
97507,11,3160889,cg16129132,3160890,1
18669,12,114691206,cg02824888,114691207,1
16073,19,54337607,cg02434051,54337608,1
57320,17,28614235,cg09076584,28614236,1
128452,1,156161035,cg21996227,156161036,1
3612,13,52851500,cg00525503,52851501,1
132476,17,42674194,cg22806907,42674195,1
17127,2,153871795,cg02593932,153871796,1
141975,2,157257892,cg24576425,157257893,1
157210,12,101702288,cg27405946,101702289,1
155840,18,79713568,cg27151480,79713569,1
121454,10,97869193,cg20580833,97869194,1
134194,1,41751406,cg23114964,41751407,1
120106,11,68313739,cg20310100,68313740,1
46112,2,241927042,cg07204800,241927043,1
150859,19,48837336,cg26267310,48837337,1
88089,10,485622,cg14429526,485623,1
52972,4,5051777,cg08323075,5051778,1
17118,6,12012028,cg02592615,12012029,1
80322,20,51801433,cg13246583,51801434,1
3209,6,62285971,cg00472801,62285972,1
120498,5,44389180,cg20387341,44389181,1
19664,19,1401768,cg02966153,1401769,1
143202,8,98942451,cg24796272,98942452,1
86121,2,120583657,cg14130119,120583658,1
41692,17,8629441,cg06528063,8629442,1
30954,16,88077756,cg04747693,88077757,1
40131,16,85424809,cg06246199,85424810,1
58003,14,105045931,cg09197895,105045932,1
53921,3,52454021,cg08485937,52454022,1
114441,20,1893881,cg19256731,1893882,1
154893,11,334561,cg26976707,334562,1
119109,1,2526582,cg20103201,2526583,1
11418,16,62036280,cg01718742,62036281,1
116677,14,49971433,cg19676502,49971434,1
15391,19,2085287,cg02326386,2085288,1
1136,6,113971367,cg00161229,113971368,1
27441,21,42396977,cg04204002,42396978,1
147189,4,105710749,cg25561576,105710750,1
64835,11,30017068,cg10387551,30017069,1
152242,12,38905744,cg26510017,38905745,1
51552,6,135851617,cg08109136,135851618,1
47329,3,50235846,cg07405126,50235847,1
22721,6,41547312,cg03442064,41547313,1
59807,17,75405944,cg09509576,75405945,1
97967,4,140019877,cg16218705,140019878,1
41377,2,101150594,cg06475673,101150595,1
88430,17,12786720,cg14482116,12786721,1
75749,2,86337004,cg12367520,86337005,1
150833,10,6172116,cg26262157,6172117,1
139045,6,153092966,cg24028809,153092967,1
121069,22,30472180,cg20501434,30472181,1
48973,11,99021303,cg07677930,99021304,1
120403,17,31322943,cg20368567,31322944,1
117516,6,44063255,cg19816080,44063256,1
141894,8,27919371,cg24554944,27919372,1
28509,10,100065272,cg04359915,100065273,1
64326,10,55631295,cg10298052,55631296,1
126565,2,131364242,cg21599215,131364243,1
11232,8,23682295,cg01688141,23682296,1
22265,3,14285181,cg03370261,14285182,1
142456,17,80725022,cg24667756,80725023,1
141390,10,113162882,cg24463290,113162883,1
127868,5,65262796,cg21878650,65262797,1
148842,17,61398125,cg25903783,61398126,1
36073,13,112983501,cg05572417,112983502,1
76604,12,3107092,cg12514734,3107093,1
130605,1,12636327,cg22441000,12636328,1
43138,1,220267755,cg06755297,220267756,1
58159,12,111034159,cg09229912,111034160,1
132768,2,72144126,cg22856324,72144127,1
120560,2,21123866,cg20399842,21123867,1
80386,14,77181612,cg13258190,77181613,1
91442,1,1372287,cg14992101,1372288,1
58850,16,20900923,cg09343327,20900924,1
92321,18,77249781,cg15146859,77249782,1
22950,18,32767592,cg03477049,32767593,1
75452,7,73433532,cg12300292,73433533,1
148491,12,56116784,cg25820475,56116785,1
133540,11,18934736,cg23001457,18934737,1
55063,16,30184702,cg08678256,30184703,1
64039,16,62036315,cg10241484,62036316,1
31353,6,105180125,cg04810065,105180126,1
85069,22,20701994,cg13974317,20701995,1
137272,10,113326344,cg23683800,113326345,1
34424,1,26471085,cg05304531,26471086,1
10982,11,112241849,cg01643712,112241850,1
105693,6,168274172,cg17587456,168274173,1
147355,19,39169721,cg25597084,39169722,1
78871,8,12755632,cg12949807,12755633,1
49965,19,1254067,cg07843568,1254068,1
5733,19,44025134,cg00850683,44025135,1
99527,4,95548414,cg16475705,95548415,1
129668,12,6377543,cg22245858,6377544,1
110696,10,49679520,cg18521914,49679521,1
128488,17,48582577,cg22005990,48582578,1
122080,17,37493542,cg20695611,37493543,1
144228,12,124424071,cg24990317,124424072,1
53524,20,63627215,cg08424639,63627216,1
38558,5,1100094,cg05978154,1100095,1
122968,17,76740320,cg20876170,76740321,1
11373,1,200872998,cg01711322,200872999,1
77624,11,102110436,cg12697442,102110437,1
123720,2,16508553,cg21029761,16508554,1
12729,3,49133063,cg01919208,49133064,1
64668,8,19319659,cg10362613,19319660,1
100201,8,902569,cg16579144,902570,1
56954,12,109714328,cg09011608,109714329,1
17763,2,134360003,cg02691393,134360004,1
777,2,222312877,cg00107606,222312878,1
66541,3,50275590,cg10692467,50275591,1
10221,1,228650240,cg01525538,228650241,1
49864,1,159910537,cg07830160,159910538,1
25543,7,71132472,cg03893271,71132473,1
16764,20,62427539,cg02537838,62427540,1
111243,2,241065538,cg18624016,241065539,1
74373,19,37779976,cg12098015,37779977,1
152266,7,139753782,cg26515926,139753783,1
10373,16,693584,cg01552128,693585,1
66666,1,234544765,cg10714509,234544766,1
69237,11,6570836,cg11185456,6570837,1
127553,21,29940010,cg21816539,29940011,1
133593,5,1555772,cg23010507,1555773,1
98788,1,16043770,cg16354688,16043771,1
120918,18,46946780,cg20469799,46946781,1
9432,9,133142368,cg01413354,133142369,1
137,15,58987504,cg00019463,58987505,1
112091,1,116586910,cg18786643,116586911,1
19806,2,218607495,cg02985541,218607496,1
30772,1,20365729,cg04722511,20365730,1
30271,17,7440620,cg04635736,7440621,1
99121,8,30912658,cg16408218,30912659,1
66724,4,83011015,cg10724425,83011016,1
145222,3,124094546,cg25184248,124094547,1
155804,14,54441571,cg27144162,54441572,1
145685,17,21214948,cg25279059,21214949,1
150649,20,19935072,cg26232247,19935073,1
85883,9,116238585,cg14094498,116238586,1
55646,3,142964227,cg08784462,142964228,1
62604,13,20177806,cg10001845,20177807,1
91048,14,104802837,cg14918743,104802838,1
149457,19,40750826,cg26015947,40750827,1
91819,6,17311925,cg15059225,17311926,1
36107,11,70820643,cg05577548,70820644,1
145071,4,157220784,cg25148589,157220785,1
145553,8,127795771,cg25247520,127795772,1
17066,16,67013900,cg02585091,67013901,1
59694,5,140402342,cg09491787,140402343,1
10171,19,29708683,cg01518459,29708684,1
33594,8,41896654,cg05166490,41896655,1
47,4,147714565,cg00006459,147714566,1
108101,4,105708505,cg18059449,105708506,1
79806,1,38044402,cg13149116,38044403,1
152659,4,171813567,cg26588943,171813568,1
10101,22,41468878,cg01509203,41468879,1
61500,7,38178216,cg09811943,38178217,1
54805,15,72800870,cg08637403,72800871,1
26826,15,101398476,cg04105230,101398477,1
67940,3,152834777,cg10949611,152834778,1
111302,7,101916234,cg18636829,101916235,1
22434,12,116508549,cg03396103,116508550,1
29978,16,29808140,cg04588455,29808141,1
17141,1,63321999,cg02595809,63322000,1
117133,4,139921748,cg19755714,139921749,1
34819,2,150982034,cg05360774,150982035,1
106693,1,11099366,cg17800649,11099367,1
56913,3,72375831,cg09006487,72375832,1
118703,16,67014566,cg20023898,67014567,1
3275,3,187737583,cg00480331,187737584,1
81424,13,77919170,cg13434989,77919171,1
118106,3,49105139,cg19914751,49105140,1
49910,6,28443646,cg07836142,28443647,1
70287,4,183399034,cg11368409,183399035,1
72860,13,112844100,cg11840467,112844101,1
106107,11,1281606,cg17676806,1281607,1
64166,2,17880052,cg10265016,17880053,1
36212,6,146598878,cg05597001,146598879,1
120513,5,58582468,cg20390045,58582469,1
25370,13,57631544,cg03865667,57631545,1
85021,6,52359847,cg13966095,52359848,1
10586,16,19710556,cg01578585,19710557,1
68459,7,16882075,cg11039314,16882076,1
24104,5,59768697,cg03653541,59768698,1
107839,5,6449464,cg18012760,6449465,1
43316,5,16179026,cg06782035,16179027,1
7267,2,219243125,cg01072786,219243126,1
57705,12,69825429,cg09147429,69825430,1
61001,16,85162744,cg09715545,85162745,1
124576,11,110707810,cg21197233,110707811,1
59443,19,663107,cg09450037,663108,1
37690,10,68900772,cg05846707,68900773,1
89523,11,64554607,cg14642395,64554608,1
64640,11,130209670,cg10356767,130209671,1
37683,13,95641628,cg05845403,95641629,1
65656,11,86244532,cg10535675,86244533,1
145054,1,186681309,cg25147026,186681310,1
47734,13,112842405,cg07479030,112842406,1
1152,17,4513829,cg00163006,4513830,1
156159,21,34791870,cg27211894,34791871,1
20679,2,10884770,cg03124139,10884771,1
117176,17,38841374,cg19760250,38841375,1
141069,2,96501782,cg24406344,96501783,1
53584,2,233388188,cg08436419,233388189,1
19514,7,157764769,cg02945866,157764770,1
121097,17,83024280,cg20510084,83024281,1
87726,20,63007081,cg14373923,63007082,1
42267,11,2271971,cg06623151,2271972,1
82102,8,23404454,cg13531748,23404455,1
29630,3,188317195,cg04535966,188317196,1
86015,5,81626718,cg14115597,81626719,1
106634,17,82031163,cg17787710,82031164,1
142497,12,118774355,cg24675150,118774356,1
51912,12,57234871,cg08163918,57234872,1
63845,3,51500170,cg10205979,51500171,1
65586,3,121894109,cg10523671,121894110,1
142842,7,1736355,cg24727130,1736356,1
36844,11,61828022,cg05698098,61828023,1
20912,3,100401505,cg03160445,100401506,1
40599,14,99174680,cg06341731,99174681,1
89812,2,96842749,cg14692453,96842750,1
138496,13,28820638,cg23934533,28820639,1
52158,5,43040072,cg08205639,43040073,1
102010,17,2054538,cg16899486,2054539,1
48043,1,247857510,cg07533148,247857511,1
35276,7,47540550,cg05425699,47540551,1
139292,17,12789356,cg24072311,12789357,1
36447,19,12401260,cg05637266,12401261,1
150287,1,99264224,cg26164310,99264225,1
22787,2,171999366,cg03451178,171999367,1
22760,2,2543345,cg03447699,2543346,1
100015,1,18952240,cg16552822,18952241,1
36516,3,105368398,cg05645404,105368399,1
54436,11,45709809,cg08575894,45709810,1
12370,3,4983278,cg01864791,4983279,1
23262,20,44957529,cg03526160,44957530,1
92792,7,158443337,cg15243366,158443338,1
141176,17,29140403,cg24425978,29140404,1
45891,14,35336692,cg07166546,35336693,1
33077,22,42152801,cg05082376,42152802,1
2680,15,70099035,cg00394793,70099036,1
29567,5,76715302,cg04528371,76715303,1
70587,11,78715831,cg11426603,78715832,1
71206,8,10054250,cg11557530,10054251,1
96820,20,50930723,cg16003500,50930724,1
11501,7,24758037,cg01733570,24758038,1
3542,20,32589473,cg00516092,32589474,1
149668,10,101048495,cg26059316,101048496,1
86742,10,11005472,cg14218275,11005473,1
36673,2,115163188,cg05667379,115163189,1
241,19,7846309,cg00032701,7846310,1
127353,6,27814348,cg21771891,27814349,1
22252,8,143559924,cg03367493,143559925,1
58138,19,51016837,cg09226684,51016838,1
156770,19,1230172,cg27320983,1230173,1
119206,4,52656654,cg20122586,52656655,1
32346,14,99480756,cg04964966,99480757,1
117439,14,37594608,cg19802865,37594609,1
113160,14,105045876,cg18985581,105045877,1
8438,19,17405661,cg01254505,17405662,1
53191,7,4712432,cg08363345,4712433,1
13959,1,154520476,cg02097120,154520477,1
101286,16,635785,cg16757281,635786,1
144142,11,3951608,cg24973226,3951609,1
105706,1,17247683,cg17589397,17247684,1
142419,5,139756250,cg24662107,139756251,1
33418,16,28295495,cg05139728,28295496,1
113307,12,7860330,cg19016972,7860331,1
49002,20,1226095,cg07683873,1226096,1
135487,8,56447433,cg23350294,56447434,1
84414,8,27593260,cg13879655,27593261,1
119065,12,6377535,cg20095851,6377536,1
140061,12,4487260,cg24211304,4487261,1
84894,19,40217325,cg13944099,40217326,1
83674,1,158179438,cg13765621,158179439,1
28675,3,170585851,cg04386206,170585852,1
26231,7,937070,cg04007890,937071,1
84621,4,84499846,cg13909879,84499847,1
156667,2,74508780,cg27306986,74508781,1
98108,3,193644054,cg16241473,193644055,1
27381,22,30247074,cg04193415,30247075,1
43326,14,105330627,cg06783197,105330628,1
50002,16,89201632,cg07850527,89201633,1
52423,22,41288702,cg08244518,41288703,1
62212,17,50345762,cg09929164,50345763,1
46,1,160366909,cg00006397,160366910,1
3140,2,161418885,cg00462525,161418886,1
124311,11,60937144,cg21152628,60937145,1
71479,19,55602777,cg11611011,55602778,1
62552,4,73069236,cg09990790,73069237,1
150971,19,7918992,cg26284544,7918993,1
63918,3,133461417,cg10218777,133461418,1
79435,8,134734935,cg13064897,134734936,1
9683,17,43399932,cg01445163,43399933,1
58166,16,49484503,cg09231171,49484504,1
20650,19,45360854,cg03117793,45360855,1
15299,19,1584572,cg02312594,1584573,1
10398,15,25238564,cg01555369,25238565,1
23463,5,36606654,cg03554170,36606655,1
87326,8,123207459,cg14308254,123207460,1
129073,22,19016374,cg22126047,19016375,1
151151,10,583625,cg26314924,583626,1
109987,11,6320121,cg18392783,6320122,1
1888,18,15197868,cg00279001,15197869,1
50225,15,67067187,cg07890839,67067188,1
74560,8,78840838,cg12129796,78840839,1
134994,20,18057945,cg23262134,18057946,1
121091,19,50519084,cg20508187,50519085,1
38775,16,628127,cg06013113,628128,1
129085,17,66299868,cg22127848,66299869,1
109648,14,103004001,cg18327049,103004002,1
1126,7,37448030,cg00159100,37448031,1
27883,20,34708925,cg04270048,34708926,1
148384,20,1619977,cg25799433,1619978,1
80170,15,28108032,cg13215862,28108033,1
23814,3,53046424,cg03607117,53046425,1
45901,22,19022955,cg07167594,19022956,1
13141,5,126465224,cg01977473,126465225,1
157159,17,45143853,cg27395066,45143854,1
118090,2,119260839,cg19911116,119260840,1
28282,10,123429301,cg04326348,123429302,1
136718,1,6461832,cg23588699,6461833,1
93038,17,7261936,cg15298719,7261937,1
123282,7,1980948,cg20943353,1980949,1
71053,6,75085084,cg11526848,75085085,1
116178,11,66312234,cg19586661,66312235,1
95571,12,34341061,cg15777553,34341062,1
64625,16,307249,cg10354730,307250,1
29259,6,137044988,cg04481779,137044989,1
94827,10,93060232,cg15644671,93060233,1
137285,21,36699373,cg23687000,36699374,1
104099,8,140097618,cg17290943,140097619,1
9616,17,28319625,cg01438829,28319626,1
156456,3,107957375,cg27275023,107957376,1
111446,7,907514,cg18664596,907515,1
93502,1,207823114,cg15393490,207823115,1
3385,10,117240725,cg00498305,117240726,1
36659,16,89458794,cg05665651,89458795,1
133345,14,73027261,cg22963414,73027262,1
37924,16,73126227,cg05881521,73126228,1
111199,17,28521326,cg18612956,28521327,1
72748,7,151081637,cg11823624,151081638,1
33854,4,79651105,cg05214511,79651106,1
6241,2,197786774,cg00926400,197786775,1
79039,3,190387820,cg12982543,190387821,1
151570,14,89618328,cg26386436,89618329,1
141441,8,141129839,cg24476153,141129840,1
8582,4,183097374,cg01278041,183097375,1
65099,17,29166780,cg10440939,29166781,1
16786,12,53676513,cg02541613,53676514,1
80657,15,48811086,cg13313487,48811087,1
142314,6,83709641,cg24638849,83709642,1
133211,11,33542400,cg22937632,33542401,1
67603,13,112782337,cg10883123,112782338,1
48088,3,172195293,cg07538890,172195294,1
89769,7,26153346,cg14684457,26153347,1
2278,7,97014374,cg00337916,97014375,1
3136,14,24367978,cg00462311,24367979,1
36407,11,126163002,cg05630208,126163003,1
100830,22,41689009,cg16681820,41689010,1
117327,3,52778504,cg19784816,52778505,1
12336,8,144393443,cg01859312,144393444,1
53807,12,12891622,cg08467512,12891623,1
95930,5,124701234,cg15839642,124701235,1
17351,3,183664938,cg02628016,183664939,1
137431,17,339211,cg23712458,339212,1
148170,19,13764297,cg25755428,13764298,1
88315,9,83630054,cg14463853,83630055,1
112643,10,103125365,cg18882449,103125366,1
62564,8,74319625,cg09994117,74319626,1
15948,19,36797389,cg02408333,36797390,1
39986,16,72089502,cg06220640,72089503,1
92544,17,28955046,cg15189764,28955047,1
14416,7,71132788,cg02172150,71132789,1
72966,13,46386980,cg11854491,46386981,1
114974,11,67267069,cg19363916,67267070,1
123608,11,76670643,cg21007414,76670644,1
45150,17,7015379,cg07058528,7015380,1
83536,3,186045261,cg13742374,186045262,1
92497,6,100443725,cg15180379,100443726,1
145156,10,61780266,cg25164589,61780267,1
133799,5,161549411,cg23050361,161549412,1
101311,16,2979822,cg16761550,2979823,1
158209,2,157257673,cg27582124,157257674,1
102791,7,124766181,cg17052813,124766182,1
137405,14,56805526,cg23706497,56805527,1
96485,14,91417329,cg15944026,91417330,2
8784,7,64307612,cg01307915,64307613,2
28528,1,211515303,cg04362907,211515304,2
55755,2,70142197,cg08805662,70142198,2
155250,14,91254183,cg27042278,91254184,2
102975,19,45885674,cg17085299,45885675,2
21415,4,24329089,cg03238216,24329090,2
24481,6,19837512,cg03715143,19837513,2
137356,11,111296764,cg23698140,111296765,2
126571,14,39432642,cg21600563,39432643,2
34043,6,160769694,cg05244324,160769695,2
142508,5,120160262,cg24676666,120160263,2
141346,17,49209121,cg24456340,49209122,2
128291,11,64744152,cg21957174,64744153,2
7284,7,75154118,cg01074622,75154119,2
63470,6,26017711,cg10146929,26017712,2
30535,2,241900517,cg04680436,241900518,2
31824,10,101030961,cg04880063,101030962,2
10824,5,3736702,cg01614898,3736703,2
148933,6,99606709,cg25924096,99606710,2
49451,15,74812671,cg07756477,74812672,2
45785,10,110210270,cg07150538,110210271,2
141230,3,197466297,cg24435939,197466298,2
46089,1,47987068,cg07202054,47987069,2
14932,20,3712574,cg02259914,3712575,2
28507,3,133674396,cg04359584,133674397,2
82327,19,45935580,cg13565619,45935581,2
130751,6,87702554,cg22469435,87702555,2
6207,7,1474237,cg00921574,1474238,2
120034,7,70789824,cg20295702,70789825,2
19788,8,73976833,cg02982745,73976834,2
2291,19,33273644,cg00339331,33273645,2
88136,8,123274495,cg14436888,123274496,2
26998,10,127196870,cg04128746,127196871,2
157669,2,233164165,cg27488364,233164166,2
98395,4,186144692,cg16289355,186144693,2
43537,16,30894420,cg06815754,30894421,2
86966,9,136829431,cg14250937,136829432,2
121821,16,88453648,cg20652640,88453649,2
156214,10,102714673,cg27224392,102714674,2
126901,2,172109489,cg21667367,172109490,2
90,16,49277992,cg00011740,49277993,2
122203,19,33202506,cg20712054,33202507,2
130445,15,69298809,cg22397562,69298810,2
17906,1,214278672,cg02709907,214278673,2
31462,1,46551716,cg04831174,46551717,2
98406,1,207910726,cg16291276,207910727,2
92906,18,37277972,cg15264610,37277973,2
34179,19,49594875,cg05264760,49594876,2
91059,12,4720661,cg14920334,4720662,2
131389,3,146605291,cg22594071,146605292,2
114542,19,21329400,cg19274837,21329401,2
56798,12,132725680,cg08981980,132725681,2
67301,6,111483549,cg10830518,111483550,2
77377,13,113365369,cg12648691,113365370,2
86619,6,99602786,cg14205321,99602787,2
31736,17,44220991,cg04867738,44220992,2
43842,19,10339688,cg06855803,10339689,2
78413,8,22274386,cg12858593,22274387,2
156790,4,153793135,cg27324117,153793136,2
81183,2,95389312,cg13400203,95389313,2
20573,2,96149012,cg03106207,96149013,2
53632,17,71334363,cg08444397,71334364,2
16392,17,9024695,cg02481697,9024696,2
113302,10,5862598,cg19016062,5862599,2
83729,4,108172062,cg13775316,108172063,2
3930,4,336862,cg00573330,336863,2
72067,19,56097695,cg11710211,56097696,2
26112,1,70353590,cg03990478,70353591,2
4037,17,4946729,cg00586275,4946730,2
6407,12,120529302,cg00949670,120529303,2
97280,5,170106343,cg16087093,170106344,2
148066,1,50427986,cg25738714,50427987,2
123303,1,233613897,cg20947082,233613898,2
91402,22,23070229,cg14986832,23070230,2
57667,2,235750385,cg09141748,235750386,2
35722,17,31859041,cg05508764,31859042,2
124919,9,37463347,cg21250061,37463348,2
