gene,description
BMI1,Cervical cancer with excessive BMI-1 expression possesses high metastases potential and that BMI-1 may be a promising biomarker for predicting metastasis in cervical cancer.
BMI1,"Aberrant EZH2 and BMI1 expression was significantly associated with mode of invasion, but not with lymph node metastasis or survival rate in oral squamous cell carcinoma."
BMI1,Silencing Bmi-1 by RNA interference can increase the senescent cell rate and effectively reduce the metastasis of gastric cancer cells.
BMI1,"Bmi-1 level accumulates strongly in early stage and then declines in late stage, which is potentially important for NSCLC cell invasion and metastasis during progression."
BMP1,miR-194 suppresses metastasis of non-small cell lung cancer through regulating expression of BMP1 and p27kip1
BMP2,To analyze the expression of bone morphogenetic proteins (BMPs) in prostate and breast cancers with established metastasis in bone
BMP2,High BMP2 is associated with metastasis in gastric cancer.
BMP2,hypothesized that BMP2 promotes cancer metastasis by modulating MMP-2 secretion and activity through intracellular ROS regulation and ERK activation in pancreatic cancer
BMP2,Med19 promotes bone metastasis and invasiveness of bladder urothelial carcinoma via bone morphogenetic protein 2.
BMP2,our results suggest that the BMP-2 induced STAT3-mediated induction of colon cancer cell metastasis requires an EMT and/or changes in cancer stem cell markers
BMP4,To analyze the expression of bone morphogenetic proteins (BMPs) in prostate and breast cancers with established metastasis in bone
BMP4,"BMP-4 protein may contribute to the malignant metastasis of squamous cell carcinoma of the head and neck, which presents as a novel prognostic marker and a potential therapeutic target for patients"
BMP4,BMP-4 is a negative regulator of VEGF-D-driven metastasis that induces vascular remodeling in lymph nodes.
BMP4,"BMP4 caused a trend towards accelerated metastasis formation, especially in bone. More work is needed to uncover the long-term effects of BMP4 and the clinical relevance of these findings."
BMP5,To analyze the expression of bone morphogenetic proteins (BMPs) in prostate and breast cancers with established metastasis in bone
BMP6,To analyze the expression of bone morphogenetic proteins (BMPs) in prostate and breast cancers with established metastasis in bone
BMP6,Bone morphogenetic protein-6 may function as an anti-metastasis factor by a mechanism involving transcriptional repression of microRNA-21 in breast cancer.
BMP6,a novel role of BMP-6/HO-1 cascade to relieve breast cancer metastasis by regulating the secretion of growth factors in tumor microenvironment.
BMP7,To analyze the expression of bone morphogenetic proteins (BMPs) in prostate and breast cancers with established metastasis in bone
BMP7,"BMP7 modulates the expression of E-cadherin and MMP-9, and by which mechanism it may regulate cell migration and metastasis of esophageal squamous cell carcinoma."
BMP7,ANGPTL4 might promote metastasis and might inhibit apoptosis of colorectal cancer cells by up-regulation of BMP7.
BNIP3,"Gene methylation (CHFR, E-cadherin, BNIP3) in the peritoneal fluid could detect occult neoplastic cells in the peritoneum and might be a risk factor for peritoneal metastasis."
BNIP3,BNIP3 deletion can be used as a prognostic marker of tumor progression to metastasis in human triple-negative breast cancer
BRAF,BRAF mutation may be acquired during development of metastasis but is not a significant factor for primary melanoma development and disease outcome.
BRAF,Role of BRAF mutation in facilitating metastasis and progression of papillary thyroid cancer in lymph nodes.
BRAF,"The oncogenic B-raf mutations V599E and V599K, as early events in melanocyte transformation, persist throughout metastasis with important prognostic implications."
BRAF,"BRAF mutation remained a significant prognostic factor for lymph node metastasis (odds ratio = 10.8, 95% confidence interval, 3.5-34.0, P < 0.0001)."
BRAF,"The frequencies of LOHs of 17q21, 17p13, 10q23, and 22q13 were higher in tumors with lymph node metastasis, suggesting that these LOHs may be important in increased lymph node metastasis."
BRAF,"The presence of mutant BRAF had no impact on the disease-free interval from diagnosis of first-ever melanoma to first distant metastasis; however, it may have impacted survival thereafter."
BRAF,IDH1 mutation works with other oncogenic mutations and could contribute to the metastasis in melanoma.
BRAF,"BRAF mutation of papillary thyroid carcinoma may have differential predictive values for LN metastasis, according to tumor size."
BRAF,"None of the molecular marker mutations that were analyzed in this study, including the BRAF mutation, predicted lymph node metastasis in classic papillary thyroid carcinoma."
BRAF,genetic association studies in population in Turkey: Data suggest that a mutation in BRAF (V600E; found in 39.45% of patients) is associated with aggressiveness of papillary thyroid neoplasms; lymph node metastasis increases when mutation is present.
BRAF,analysis of a patient with pancreatic metastasis arising from a BRAF(V600E)-positive papillary thyroid cancer [case report]
BRAF,BRAFV600E mutation is associated with lymph node metastasis in multiple papillary thyroid carcinoma.
BRAF,"Thus, in this meta-analysis, the BRAF mutation in PTC was significantly associated with PTC recurrence, lymph node metastasis, extrathyroidal extension, and advanced stage AJCC III/IV."
BRAF,The BRAF V600E mutation is the only independent predictor of compartment lymph node metastasis in papillary thyroid carcinoma.
BRAF,BRAF mutation was not found to be significantly associated with lymph node metastasis in patients with papillary thyroid cancer
BRAF,BRAFV600E mutation is associated with cervical lymph node metastasis and recurrence in papillary thyroid cancer.
BRAF,The status of BRAF(V600E) mutation was more frequent in multifocal PTC patients with lymph node metastasis and diagnosis at later age.
BRAF,Braf mutations were not associated with the risk of lymph node metastasis in papillary thyroid carcinoma.
BRAF,The mutations of EGFR and BRAF genes were not found in HER2-mutated patients with brain metastasis from non-small cell lung cancer.
BRAF,Both the CRP single nucleotide polymorphism rs7553007 and KRAS/BRAF mutations were independent prognostic factors for colorectal cancer patients with synchronous liver metastasis.
BRAF,BRAF(V600E) mutation is predictive for distant metastasis in papillary thyroid carcinoma but not positively.
BRAF,"There was no significant association between BRAF positivity and tumor multicentricity, lymphovascular invasion, extranodal extension, central neck involvement, advanced stage (stage III or IV), and distant metastasis."
BRAF,HSP60 protein expression may inhibit lymph node metastasis in papillary thyroid carcinomas harboring the BRAF mutation.
BRAF,We conclude that a high proportion of PTC cases likely harbors the BRAF V600E mutation. This mutation can be used as an independent factor for predicting the recurrence and distal metastasis of PTC tumors.
BRAF,"meta-analysis suggested that extrathyroidal extension, lymph node metastasis, disease recurrence, and advanced TNM stage were associated with BRAF(V600E) mutation in papillary thyroid carcinoma"
BRAF,"Despite being an independent predictor of central node metastasis in small papillary thyroid carcinoma, BRAF did not add substantially to the overall prediction of occult central node metastasis."
BRAF,"BRAF mutation was significantly associated with a larger tumor size, extrathyroidal invasion and lymph node metastasis in papillary thyroid cancer."
BRAF,discordant BRAF mutation status is rare when samples from individual PTCs are compared or when samples from individual PTCs and lymph node metastasis at thyroidectomy are compared but occurs more when primary and recurrent metastasis are compared
BRAF,Data indicate that BRAF protein overexpression was significantly associated with thyroid extracapsular extension (ECE) and lymph node metastasis (LNM) positive cases.
BRAF,Results show that BRAF-mutated patients were significantly younger at the time of primary melanoma and first diagnosis of metastasis than BRAF wild-type patients but BRAF mutation is not associated with a more aggressive illness.
BRAF,"SOX2 expression is partly regulated by BRAF signalling, and an increased SOX2 expression may promote CRC metastasis and mediate a poor patient prognosis"
BRAF,The BRAF(V600E) mutation was significantly associated with lymph node metastasis and poor prognosis in papillary thyroid carcinoma.
BRAF,"This is the largest study on the aggressive role of TERT promoter mutations in anaplastic thyroid cancer(ATC), demonstrating an association of TERT C228T with BRAF V600E, older patient age, and tumor distant metastasis in ATC."
BRAF,No association was established between BRAF V600E mutation and regional lymph node metastasis in papillary thyroid carcinoma in Chinese patients.
BRAF,findings suggest that the BRAF(V600E) mutation can be detected using a PNA clamp real-time PCR in the blood of PTC[ papillary thyroid carcinoma ] patients with lung metastasis
BRAF,"Presence of BRAF V600E associated with aggressive tumor features in Papillary thyroid carcinoma, including invasion, metastasis, advanced TNM stage at presentation, low response to radioiodine treatment, recurrence, and tumor-related mortality."
BRAF,real-time PCR cycle threshold values for the BRAFV600E mutation obtained from fine needle aspirates can be associated with central lymph node metastasis in papillary thyroid microcarcinoma patients
BRAF,that BRAF sequencing has been used to discriminate between dedifferentiated papillary thyroid carcinoma and tumor to tumor metastasis
BRCA1,nm23H1 protein could effectively restrain gastric cancer metastasis and development; and BRCA1 protein could restain tumor from becoming lower differentiation.
BRCA1,The site of first distant metastasis is different between BRCA1- and BRCA2-associated and sporadic breast cancer patients.
BRCA1,"Studied BRCA1 and BRCA2 exp'n in young breast cancer patients;BRCA1 & BRCA2 expression correlated in healthy, but not in tumor tissues. Neither BRCA1 nor BRCA2 exp'n was assoc'd with tumor histology, diff'n, nodal metastasis or p53 and HER-2 exp'n."
BRCA1,BRCA1 methylation correlated with age at diagnosis (P = .015) and 5-years disease free survival (P = .016) while hMLH1 methylation was more frequent in larger tumors (P = .002) and in presence of distant metastasis (P = .004).
BRCA1,ERCC1 and BRCA1 mRNA expression levels correlate inversely to CRC metastasis. ERCC1 and BRCA1 might serve as biomarkers for lymphatic metastasis and as prognostic indicators for CRC; their down-expressions are predictors of poor outcome in CRC patients
BRCA1,"BRCA1/2 germ-line mutations confer a more aggressive prostate cancer phenotype with a higher probability of nodal involvement, distant metastasis and poor survival."
BRCA1,"Data indicate that patients negative for BRCA1 protein were more often with pathological tumor-node-metastasis stage III, positive for lymph node metastasis and MYC overexpression than BRCA1-positive tumors."
BRCA1,BRCA1 mutation is not associated with nodal metastasis in breast cancer.
BRCA1,"A model where BRCA1 cytosolic mislocalisation promotes breast cancer metastasis, making it a potential biomarker of metastatic disease."
BRCA2,The site of first distant metastasis is different between BRCA1- and BRCA2-associated and sporadic breast cancer patients.
BRCA2,"Studied BRCA1 and BRCA2 exp'n in young breast cancer patients;BRCA1 & BRCA2 expression correlated in healthy, but not in tumor tissues. Neither BRCA1 nor BRCA2 exp'n was assoc'd with tumor histology, diff'n, nodal metastasis or p53 and HER-2 exp'n."
BRCA2,Case Report: Ovarian cancer with metastasis to the brain in patient with BRCA2 mutation.
BRCA2,"BRCA1/2 germ-line mutations confer a more aggressive prostate cancer phenotype with a higher probability of nodal involvement, distant metastasis and poor survival."
BRCA2,BRCA2 mutation is not associated with nodal metastasis in breast cancer.
BRCA2,"FBN1 acts downstream of Aur A and BRCA2, promoting ovarian cancer metastasis through p53 and SLUG-associated signaling."
BRD7,"Data indicate that BRD7 may be related to the occurrence, development, and metastasis of lung cancers."
BRMS1,"BRMS1 functions as a metastasis suppressor in more than one tumor type(i.e., breast carcinoma and cutaneous melanoma)by modifying several metastasis-associated phenotypes."
BRMS1,"BRMS1 has subsequently been shown to suppress metastasis, but not tumorigenicity of human melanoma cells."
BRMS1,"To further characterize BRMS1-mediated metastasis suppression, proteins differentially expressed between highly metastatic MDA-MB-435 cells & BRMS1-transfected MDA-MB-435 cells were identified. Differential expression was found for 5 proteins."
BRMS1,Our investigations revealed significantly reduced mRNA expression of metastases suppressor gene BRMS1 in breast cancer brain metastasis.
BRMS1,Available evidence on the reported functions of the identified proteins supports the emerging role of BRMS1 as negative regulator of the metastasis development.
BRMS1,"The pattern of gene expression associated with BRMS1 expression suggests that metastasis suppression may be mediated by enhanced immune recognition, altered transport, and/or secretion of metastasis-associated proteins."
BRMS1,Alterations of BRMS1-ARID4A interaction modify gene expression but still suppress metastasis in human breast cancer cells.
BRMS1,"OPN downregulation by BRMS1 may be responsible, at least in part, for BRMS1-mediated metastasis suppression by sensitizing cancer cells to stress induced apoptosis."
BRMS1,Breast cancer metastasis suppressor 1 inhibits SDF-1alpha-induced migration of non-small cell lung cancer by decreasing CXCR4 expression.
BRMS1,"BRMS1 is a potent suppressor of metastasis in multiple organs, and identify two steps in the metastatic process that are sensitive to inhibition by BRMS1."
BRMS1,Breast cancer metastasis suppressor-1 differentially modulates growth factor signaling
BRMS1,expression of the characteristic *35 kDa BRMS1 protein is not sufficient to prevent metastasis. The differential expression of alternative splice variants suggests caution should be taken when evaluating BRMS1 mRNA in clinical samples.
BRMS1,BRMS1 functions as a metastasis suppressor and may be a prognostic indicator for human non-small cell lung cancer.
BRMS1,The expression of BRMS1 protein in supraglottic cancer is significantly decreased. Expression has a close relationship with pathologic differentiation and clinical stage and cervical lymph node metastasis.
BRMS1,SATB1 and BRMS1 might play an important role in the development and lymph node metastasis of ovarian cancer.
BRMS1,the enigmatic complexities of BRMS1-mediated metastasis suppression
BRMS1,Loss of breast cancer metastasis suppressor 1 promotes ovarian cancer cell metastasis by increasing chemokine receptor 4 expression.
BRMS1,Data suggest that low expression of the metastasis suppressor BRMS1 may be an independent prognostic factor for poor prognosis in nasopharyngeal carcinoma (NPC) patients.
BRMS1,"Data indicate that mutation of E3 ligase motif not only abolishes BRMS1-induced p300 polyubiquitination and degradation, but importantly, dramatically reduces the metastasis suppressor function of BRMS1."
BRMS1,The C-terminal putative nuclear localization sequence (NSL2) of BRMS1 is necessary for metastasis suppression.
BRMS1,"Low levels of BRMS1 were observed in patients with high-grade tumors, in patients with distant metastasis in breast cancer."
BRS3,Study found that the BRS-3 agonist stimulated adhesion of NCI-N417 cells in laminin-coated culture wells suggesting that BRS-3 may be involved in invasion and metastasis of certain cancer cells
BSG,"role of EMMPRIN in tumor invasion, metastasis, and neoangiogenesis by stimulating extracellular matrix remodeling around tumor cell clusters, stroma, and blood vessels"
BSG,"Our results suggest an importance of the direct cell-cell interaction involving EMMPRIN rather than humoral factors such as cytokines for pro-MMP-2 production and activation followed by tumor progression, invasion, and metastasis in laryngeal cancer"
BSG,"Expression of EMMPRIN protein may be detected in hepatocellular carcinoma(HCC), but it may play little role in the invasion and metastasis of HCC."
BSG,HAb18G/CD147 plays an important role in HCC invasion and metastasis mainly via modulating fibroblasts
BSG,"Pathologic findings demonstrated that the intensity of CD147 staining in cancerous tissues was associated significantly with histological types, distant metastasis, and Nevin stages of gallbladder carcinomas."
BSG,"EMMPRIN expression in tongue squamous cell carcinoma is significantly higher than in non-cancerous epithelium; is significantly associated with tumor diameter and clinical stage but not with gender, age, tumor metastasis and pathological grade."
BSG,"MMP9 and CD147 expression are correlated with invasion, metastasis of squamous cell carcinoma of the uterine cervix"
BSG,"The expression of CD147 is considered closely correlated with tumor invasion, metastasis and prognosis in breast cancer."
BSG,"highly expressed in malignant melanoma cells and plays important roles in tumor invasiveness, metastasis, cellular proliferation, and in vascular endothelial growth factor production, tumor cell glycolysis, and multi-drug resistance"
BSG,MIF and CD147 may play important roles in invasion and metastasis in non-small cell lung cancer.
BSG,CD147 and MMP-2 play a role in invasion and metastasis of laryngeal carcinoma. Increased levels of MMP-2 and MMP-9 are induced by CD147 in laryngeal tumor cells.
BSG,"The result suggest that co-expression of CD147 and MCT1/MCT4 is related to drug resistance during EOC metastasis and could be useful therapeutic targets to prevent the development of incurable, recurrent and drug resistance EOC."
BSG,"Results demonstrate the involvement of CD147 in prostate cancer progression and suggest its potential role as an independent predictor of biochemical recurrence, development of metastasis and reduced overall survival in PCa."
BSG,The authors report that the expression of hepatitis C virus core protein contributes to the metastasis of hepatocyte cells through activating transcription of extracellular metalloproteinase inducer.
BSG,CD147 and MMP-2 expression is correlated with the invasion and metastasis of squamous cell carcinoma and adenocarcinoma of the lungs
BSG,"Association of increased ligand cyclophilin A and receptor CD147 with hypoxia, angiogenesis, metastasis and prognosis of tongue squamous cell carcinoma."
BSG,the present study provides mutational and functional evidences demonstrating for the first time the functional importance of CD147 dimerization and its direct correlation with invasion and metastasis of tumor cells.
BSG,"CD147 plays an important role in the invasion, metastasis and chemosensitivity of the human pancreatic cancer cell line Panc-1"
BSG,"In vitro, knockdown of CD147 or AGR2 decreased cellular proliferation, migration and invasion. In vivo, knockdown of CD147 or AGR2 expression decreased primary tumor growth as well as regional and distant metastasis."
BSG,"CD147 promotes ovarian cancer progression by its involvement in every facet of malignancy, including invasion, metastasis, survival, angiogenesis, and drug resistance."
BSG,"The expression levels of CD147 and MMP-9 are positively correlated with invasion, metastasis and shorter survival of triple-negative breast cancer patients"
BSG,"basigin-2 isoform has a role in lymph-vascular space involvement, lymph node metastasis and poor prognosis of epithelial ovarian cancer"
BSG,"observed that the expression of COX-2, CD44v6, and CD147 were significantly associated with T classification, lymph node metastasis and clinical stage"
BSG,"we suggest that beta3GnT8 plays a key role in the metastasis of colorectal cancer cells by altering the beta1,6-branched polylactosamine sugars of CD147."
BSG,"S100P expression in prostate cancer tissue was significantly decreased, whereas CD147 and OCT4 expression was increased. Their expression levels were closely associated with TNM stage and distant metastasis."
BSG,EMMPRIN promoted metastasis and the epithelial-mesenchymal transition in esophageal cancer cells by regulating HIF-1alpha.
BST2,Results provide novel data indicating the BST2 protein expression is associated with the formation of bone metastases in human breast cancer and that BST2 may be a potential biomarker in breast cancer with bone metastasis.
BST2,The findings in this study indicate that BST2 expression in OSCC tumors is an independent prognostic factor of patient survival and associated with tumor metastasis
BTG1,BTG1 expression decreased in nonsmall cell lung cancer and correlated significantly with lymph node metastasis; clinical stage; histological grade; poor overall survival
BTG1,Bcell translocation 1 gene inhibits cellular metastasisassociated behavior in breast cancer.
BTG1,"Reduced BTG1 expression is associated with increased nasopharyngeal cancer severity, suggesting it is a negative regulator of the cancer and can serve as a prognostic indicator. Reduced BTG1 expression is possibly associated with tumour metastasis."
BTG1,"BTG1 protein levels were significantly reduced in hepatocellular cancer and were associated with lymph node metastasis, clinical stage, cell differentiation, and prognosis."
BVES,"These results suggest that down-regulation of BVES in hepatocellular carcinoma induces epithelial-mesenchymal transition, thus promoting invasion and metastasis in HCC cells."
C14orf166,"c14orf166 was identified asa novel metastasis-associated protein, and the roles of radixin, moesin and c14orf166 in pancreatic cancer metastasis deserve further investigations."
C1QA,These results suggest there could be an association of a single nucleotide polymorphism at position 276 of the C1qA component of complement with breast cancer metastasis to sites linked to hematogenous spread of disease.
C1QBP,cell-surface gC1qR regulates lamellipodia formation and metastasis via receptor tyrosine kinase activation.
C1QBP,"C1QBP was observed to be overexpressed in breast cancer tissues, and its expression level was closely linked with distant metastasis and TNM stages."
C1QBP,Data indicate that hyaluronic acid binding protein 1 (HABP1)/P32/C1QBP overexpression correlated with peritoneal dissemination and lymph node metastasis in EOC.
C1QBP,"HABP1 protein high expression may contribute to the tumor progression and poor prognosis of TNBC, especially in predicting prognosis in TNBCs without lymph node metastasis."
C6orf106,High C6orf106 expression was significantly correlated with lymph node metastasis in triple-negative breast cancer.
CA1,"A significant correlation was found between positive carbonic anhydrase I staining and oral squamous cell carcinoma for more advanced clinical stage and larger tumor size, but not for positive lymph node metastasis, distal metastasis, and recurrence."
CA2,"A significant correlation was found between positive carbonic anhydrase II staining and oral squamous cell carcinoma for more advanced clinical stage and larger tumor size, but not for positive lymph node metastasis, distal metastasis, and recurrence."
CA9,The strong correlation between CA9 expression and metastasis suggests that CA9 expression might be an important indicator for identifying patients who require more aggressive systemic therapy.
CA9,study confirms that the expression level of CA9 gene in conventional renal cell carcinoma is related to metastasis
CA9,Low expression of CAIX and high expression of VEGF is associated with metastasis in clear cell renal cell carcinoma.
CA9,"Pharmacologic interference of CAIX catalytic activity using monoclonal antibodies or CAIX-specific small molecule inhibitors, consequently disrupting pH regulation by cancer cells, has been shown recently to impair primary tumor growth and metastasis."
CA9,CAIX can be a useful ancillary marker for identifying mesothelial cells. There is no difference in CAIX expression between benign and malignant mesothelium. Caution should be exercised while evaluating for metastasis from renal cell carcinoma.
CA9,This is the first evidence that CA IX may promote nasopharyngeal carcinoma metastasis
CACUL1,H. pylori-triggered CACUL1 production occurred in an activating protein 1-dependent manner and regulated matrix metalloproteinase 9 and Slug expression to affect the invasion and metastasis of tumor cells.
CACYBP,This study presents CacyBP as a promising candidate biomarker for colorectal cancer (CRC) metastasis and also sheds light on the underlying molecular mechanism by which CacyBP promotes CRC metastasis.
CADM1,"TSLC1 inhibits nasopharyngeal carcinoma cell growth by arresting cells in G(0)-G(1) phase in normal culture conditions. Without serum, TSLC1 induced apoptosis. TSLC1 is a tumor suppressor gene in NPC; its loss is seen in lymphatic metastasis."
CADM1,"aberrant CADM1 and 4.1B expression is involved in progression of breast cancer, especially in invasion into the stroma and metastasis"
CADM1,"As a tumor suppressor gene, CADM1 plays an important role in the occurrence, progression and metastasis of pancreatic cancer."
CADM1,miR-10b may positively regulate the invasion and metastasis of HCC through targeting CADM1.
CADM1,"Our data show a novel function for Cadm1 in suppressing metastasis by sensitizing tumor cells to immune surveillance mechanisms, and this is the first report of a heritable metastasis susceptibility gene engaging tumor non-autonomous factors."
CADM1,TGF-beta upregulates miR-182 expression to promote gallbladder cancer metastasis by targeting CADM1.
CALCA,Elevated calcitonin is associated with metastasis of prostate cancer.
CALR,calreticulin is expressed in melanoma cells of primary as well as of metastatic lesions and may not have the same causative role as calnexin in melanoma metastasis
CALR,these data support the hypothesis that calreticulin inhibits growth and/or metastasis of prostate cancer cells and that this suppression requires the P-domain.
CALR,we reviewed the biological roles of calreticulin and summarized the potential mechanisms of calreticulin in regulating mRNA stability and therefore contributed to cancer metastasis.
CALU,Results show that OSBPL5 and CALU were expressed at higher levels in the lung tissues of metastasis-positive cases than that in the metastasis-negative cases suggesting they can promote invasiveness of lung cancer cells.
CAMP,High CAP18 is associated with breast cancer metastasis.
CANX,The data suggest that patients with low or defective TAP1 or calnexin in primary breast cancers may be at higher risks for developing brain metastasis due to the defects in T cell-based immunosurveillance.
CAP1,"Findings suggest that CAP1 (cyclase-associated protein 1) is involved in the metastasis of esophageal squamous cell carcinoma, and increased expression may indicate a poor prognosis."
CAP1,results indicate that upregulated expression of CAP1 might contribute heavily to the metastasis of hepatocellular carcinoma.
CAP1,CAP1 is involved in the brain metastasis in non-small cell lung cancer.CAP1 overexpression is associated with poor prognosis in non-small cell lung cancer patients.
CAPG,CapG is involved in the process of metastasis by promoting the invasiveness of tumor cells.
CAPG,"CapG was up-regulated in the tumor tissues of patients with lymph node metastasis (LNM), whereas it showed an equivalent expression level between non-tumor and tumor tissues of patients without LNM."
CAPNS1,"Capn4 overexpression was implicated in ICC metastasis/invasion, and Capn4 overexpression may be used as a molecular therapeutic target for intrahepatic cholangiocarcinoma"
CAPNS1,Capn4 can contribute to hepatocellular carcinoma growth and metastasis
CAPNS1,High levels of Capn4 expression were associated with lymph node metastasis and large tumor size in non-small cell lung cancer patients.Capn4 promotes non-small cell lung cancer progression via upregulation of matrix metalloproteinase 2.
CARD10,A novel mechanism of CARMA3 in lung cancer stemness and metastasis through the negative regulation of NME2 was identified.
CARD9,Results indicating that CARD9 is a regulator of metastasis-associated macrophages will lead to new insights into evolution of the microenvironments supporting tumor metastasis.
CASP10,alteration associated with nodal metastasis in non-small cell lung cancer
CASP3,"Data suggest that pulmonary metastasis is corrected with levels of Geminin, cleaved caspase-3, CD44, E-cadherin, epidermal growth factor receptor, and CD204 in cancer cells within permeated lymphatic vessels."
CASP3,These results indicate that stress-activated caspase-3 might contribute to the suppression of metastasis through the generation of fragment N2( RasGAP )
CASP3,Caspase-3 expression in metastatic LNs may be a potential independent predictor of poorer overall survival in patients with resected ESCC and LN metastasis
CASP8,alteration associated with nodal metastasis in non-small cell lung cancer
CASP8,"findings define caspase-8 as a metastasis suppressor gene that, together with integrins, regulates the survival and invasive capacity of neuroblastoma cells"
CASP8,DR5 and caspase-8 are involved in regulation of HNSCC metastasis.
CASP8,Src is required for caspase-8-imparted cell migration or metastasis dependently on Tyr 380 and RXDLL motif of caspase-8.
CASP8,"Caspase-8 is not only an apoptosis protein, but has non-apoptosis function, such as promoting invasion and metastasis of lung cancer A549 cell."
CASP8,The del/del genotype of the CASP8 -652 6N ins/del promoter polymorphism decreases the overall risk of renal cell carcinoma. It may be associated with a decreased risk of metastasis.
CASP9,overexpression of iASPP and the low expression of caspase-9 in esophageal cancer are closely correlated with tumor invasion and metastasis
CASS4,"Hepl is overexpressed in the nucleus and aberrantly accumulates in the cytoplasm of non-small cell lung cancer cells, and Hepl may play a role in the progression of lung cancer, including lymph node metastasis and TNM stage."
CAT,the ratios SOD2/catalase and SOD2/Gpx1 could be considered as potential markers during progression from tumor growth to metastasis
CAV1,over-expression is associated with lymph node metastasis and worse prognosis after surgery in esophageal squamous cell carcinoma
CAV1,Up-regulated caveolin-1 accentuates the metastasis capability of lung adenocarcinoma by inducing filopodia formation.
CAV1,negative regulation of caveolin-1 plays a central role in the complex cellular changes leading to metastasis
CAV1,Caveolin-1 regulates primary breast tumor growth and spontaneous metastasis of breast cancer.
CAV1,"a feedback loop between Rho/ROCK, Src, and phosphorylated Cav1 in tumor cell protrusions, identifying a novel function for Cav1 in tumor metastasis that may contribute to the poor prognosis of some Cav1-expressing tumors."
CAV1,"In head and neck squamous cell carcinoma, cav-1 may play an inhibitory role in tumorigenesis and lung metastasis through regulating integrin beta1- and Src-mediated cell-cell and cell-matrix interactions."
CAV1,Cav-1(P132L) mutation is associated with metastasis in breast cancer.
CAV1,might increase small cell lung cancer metastasis potential through the interaction with E-cadherin and MMP-3 genes
CAV1,"the molecular mechanisms by which CAV1 carries out its key role in regulating ESFT metastasis involve matrix metalloproteinase production and activation as well as the control of the expression of SPARC, a known determinant of lung colonization."
CAV1,Findings indicated a reduction of caveolin- 1 expression in NSCLC and suggested that caveolin-1 as well as VEGF-C might be involved in lymph node metastasis of NSCLC.
CAV1,Caveolin-1 overexpression is associated with hepatocellular carcinoma tumourigenesis and metastasis.
CAV1,Alterations of TES mRNA level may predict the location of metastasis. CAV1 possibly affect the cancer cell invasion
CAV1,Data suggest that down-regulation of CAV1 suppresses proliferation of lung carcinoma cells and may promote metastasis of lung tumors.
CAV1,Breast cancer nodal metastasis correlates with tumour and lymph node methylation profiles of Caveolin-1 and CXCR4.
CAV1,Data suggest that the role for caveolin-1 (CAV-1) in promoting bladder cancer metastasis presents CAV-1 and related pathways as potential therapeutic targets in invasive bladder cancer.
CAV1,Microarray data of the expression level of key genes reveals that CAV1 is critical for cervical cancer invasion and metastasis.
CAV1,"Loss of PTEN in melanoma increases CAV1-mediated dissociation of beta-catenin from membranous E-cadherin, which may promote senescence bypass and metastasis."
CAV1,Data show that caveolin 1 expression in brain metastasis was associated with poor prognosis and an increased risk of death.
CBL,it is clear that c-CBL is highly mutated in lung cancers and may play an essential role in lung tumorigenesis and metastasis
CBL,"This study shows that increasing c-Cbl expression reduces osteosarcoma cell growth, survival, and metastasis in part through downregulation of receptor tyrosine kinase."
CBL,H19 non coding RNA-derived miR-675 enhances tumorigenesis and metastasis of breast cancer cells by downregulating c-Cbl and Cbl-b.
CBLB,Results suggest that Cbl-b improves the prognosis of RANK-expressing breast cancer patients by inhibiting RANKL-induced breast cancer cell migration and metastasis.
CBLB,H19 non coding RNA-derived miR-675 enhances tumorigenesis and metastasis of breast cancer cells by downregulating c-Cbl and Cbl-b.
CBR1,CBR1 decreases promoted tumor proliferation and growth as well as invasion and metastasis; CBR1 has potential to become a new candidate for molecular targeting therapy.
CBR3,Decreased Carbonyl Reductase expression in epithelial ovarian cancer is associated with RLN metastasis and poor survival
CBR3-AS1,PlncRNA-1 plays an important role in esophageal squamous cell carcinoma cell proliferation. Overexpression of PlncRNA-1 is correlated with advanced tumor stage and lymph node metastasis.
CBX4,Role of Cbx4 in migration and metastasis of a metastatic hepatocellular carcinoma cell line. Results show that Cbx4 overexpression increases the in vitro vessel formation of vascular endothelial cells in its SUMO interaction motifs-dependent manner.
CBX5,"Data show that RRP1B regulates metastasis associated gene expression by interacting with the transcriptional corepressors TRIM28 and HP1a, which act by recruiting chromatin-modifying enzymes."
CBX7,"CBX7 acts as an oncogene in the carcinogenesis and progression of gastric cancer, and it may regulate tumorigenesis, cell migration and cancer metastasis partially via p16(INK4a) regulatory pathway."
CBX7,"Cbx7 is downregulated in CCs, and Cbx7 expression-low tumors correlated with lymph metastasis and poor overall survival of CC patients."
CBX8,Low CBX8 expression was associated with distant metastasis in colorectal cancer.
CCAR2,the results indicated that DBC1 promotes anoikis resistance in gastric cancer cells by regulating NF-kappaB activity and may thus be a new therapeutic target for preventing potential metastasis
CCDC88A,"provides the structural and biochemical basis for the prometastatic features of GIV, making the functional disruption of this unique G alpha i-GIV interface a promising target for therapy against cancer metastasis"
CCDC88A,It was concluded that GIV-fl is a novel metastasis-related protein and an independent adverse prognosticator that may serve as a useful adjunct to traditional staging strategies in colorectal carcinoma.
CCDC88A,Girdin protein may be a potential new distant metastasis biomarker of breast cancer
CCDC88A,The Girdin protein may be a potential new early liver metastasis biomarker of colorectal cancer.
CCDC88A,The expression of Girdin protein in invasive breast cancer is strongly associated with lymph node metastasis.
